t;Yt;Y(t-1);Xt
1;1.78;;44274
2;1.95;1.78;43698
3;2.01;1.95;44872
4;1.93;2.01;45006
5;2.14;1.93;47810
6;2.06;2.14;47417
7;2.31;2.06;49926
8;2.35;2.31;50319
9;2.43;2.35;51917
10;2.45;2.43;52850
11;2.45;2.45;51185
12;2.46;2.45;51556
13;2.42;2.46;51135
14;2.51;2.42;51920
15;2.5;2.51;52884
16;2.46;2.5;53631
17;2.47;2.46;52760
18;2.46;2.47;52677
19;2.58;2.46;54929
20;2.52;2.58;55268
21;2.57;2.52;57442
22;2.57;2.57;56146
23;2.63;2.57;57197
24;2.68;2.63;56582
25;2.64;2.68;55729
26;2.77;2.64;60660
27;2.72;2.77;56262
28;2.74;2.72;52795
29;2.73;2.74;54873
30;2.69;2.73;56080
31;2.55;2.69;65113
32;2.63;2.55;51056
33;2.65;2.63;53507
34;2.71;2.65;53229
35;2.8;2.71;58482
36;3.11;2.8;69071
37;2.92;3.11;67523
38;2.92;2.92;65527
39;2.89;2.92;64315
40;2.92;2.89;65843
41;2.99;2.92;74042
42;3.2;2.99;79630
43;3.15;3.2;78934
44;3.22;3.15;73530
45;3.19;3.22;72343
46;3.08;3.19;64953
47;2.99;3.08;60249
48;2.93;2.99;57866
49;3.08;2.93;55870
50;3.11;55870;51775
;;;
;3.22;;
;1.78;;
